;1. Prio;2. Prio;3. Prio;4. Prio;5. Prio
L ;3677;3819;3813;3751;3814
M ;3824;3751;3814;3813;3780
N ;3781;3830;3677;3824;3751
O;3781;3662;3751;3677;3752
A;3771;3744;3781;3814;3751
B;3638;3675;3800;3813;3824
C;3814;3751;3819;3830;3781
D ;3771;3813;3751;3814;3780
E;3744;3830;3781;3694;3831
F;3831;3796;3655;3656;3625
G ;3771;3813;3662;3694;3800
H;3831;3662;3674;3694;3655
I;3751;3656;3796;3674;3780
J;3655;3809;3830;3751;3744
P;3831;3638;3655;3721;3722
Q;3638;3809;3813;3814;3751
R ;3796;3830;3674;3809;3625
S;3625;3819;3690;3692;3655
T ;3780;3800;3674;3690;3638
U ;3638;3809;3709;3751;3694
V ;3638;3662;3675;3796;3800
W;3771;3751;3677;3656;3830
X;3694;3675;3831;3625;3819
Y ;3796;3831;3752;3694;3638
Z ;3656;3675;3744;3674;3662
AA;3690;3819;3781;3800;3655
BB;3781;3662;3830;3831;3638
CC;3744;3638;3656;3831;3722
DD;3800;3655;3690;3638;3830
EE;3800;3655;3722;3690;3638
FF;3744;3677;3781;3752;3674
GG ;3656;3677;3780;3625;3675
HH;3744;3694;3781;3662;3830
